id,Date,Ticker,Open,Close,High,Low,Volume
946,2026-01-22,GOOG,334.03,330.61,334.97,328.65,19902100
947,2026-01-23,GOOG,332.42,328.2,333.79,327.74,19110600
948,2026-01-26,GOOG,327.97,333.36,336.11,327.26,18502500
949,2026-01-27,GOOG,335.39,334.76,337.98,333.52,16080900
950,2026-01-28,GOOG,336.37,336.04,337.39,331.9,17538500
951,2026-01-29,GOOG,340.11,338.42,342.05,326.49,24548300
952,2026-01-30,GOOG,334.22,338.29,340.05,332.41,21740200
953,2026-02-02,GOOG,336.31,344.66,344.92,335.77,22775200
954,2026-02-03,GOOG,348.27,340.46,349.9,338.35,25786500
955,2026-02-04,GOOG,343.51,333.11,344.01,329.14,36991100
956,2026-02-05,GOOG,312.98,331.1,332.41,306.7,51842000
957,2026-02-06,GOOG,327.12,322.87,330.41,319.92,33877000
958,2026-02-09,GOOG,321.01,324.17,327.51,317.48,26103300
959,2026-02-10,GOOG,320.68,318.41,321.4,314.44,25281900
960,2026-02-11,GOOG,318.74,311.11,320.82,309.91,24008100
961,2026-02-12,GOOG,312.13,309.15,316.26,307.93,28194000
962,2026-02-13,GOOG,307.77,305.8,308.67,303.69,20236000
963,2026-02-17,GOOG,300.43,302.61,304.68,296.69,23750800
964,2026-02-18,GOOG,302.22,303.73,305.69,301.77,15847700
965,2026-02-19,GOOG,302.31,303.35,305.81,300.46,13448600
966,2026-02-20,GOOG,304.59,314.68,316.54,304.21,33663100
967,2026-02-23,GOOG,318.92,311.47,319.23,309.77,17641200
968,2026-02-24,GOOG,310.42,310.7,312.15,305.87,15040700
969,2026-02-25,GOOG,311.9,312.81,313.44,309.14,20209100
970,2026-02-26,GOOG,312.58,306.93,312.78,302.2,22380000
971,2026-02-27,GOOG,303.73,311.21,311.86,303.38,33389200
972,2026-03-02,GOOG,302.75,306.14,307.92,300.85,21854400
973,2026-03-03,GOOG,298.21,303.35,303.73,296.49,20361100
974,2026-03-04,GOOG,302.47,303.24,305.24,300.59,20015600
975,2026-03-05,GOOG,302.99,300.7,303.16,297.86,22643900
976,2026-03-06,GOOG,295.86,298.09,300.12,295.04,17598000
977,2026-03-09,GOOG,294.14,306.01,306.5,293.93,19632700
978,2026-03-10,GOOG,305.88,306.93,309.15,305.31,14386400
979,2026-03-11,GOOG,306.3,308.42,311.07,305.84,13376700
980,2026-03-12,GOOG,306.21,303.21,308.64,300.84,15610200
981,2026-03-13,GOOG,306.65,301.46,307.26,299.78,16857500
982,2026-03-16,GOOG,303.6,304.42,305.57,301.81,14822000
983,2026-03-17,GOOG,304.67,309.41,310.05,304.35,14423600
984,2026-03-18,GOOG,307.9,306.3,310.75,305.55,13848400
985,2026-03-19,GOOG,303.21,305.73,306.68,301.0,15399700
986,2026-03-20,GOOG,304.07,298.79,304.37,296.75,34763500
987,2026-03-23,GOOG,300.53,299.02,303.37,298.03,22204100
988,2026-03-24,GOOG,296.21,289.2,297.1,288.86,27411200
989,2026-03-25,GOOG,292.15,289.59,294.66,287.37,22343000
990,2026-03-26,GOOG,286.19,280.74,286.52,279.05,29281200
991,2026-03-27,GOOG,277.4,273.76,279.09,273.48,25703300
992,2026-03-30,GOOG,275.44,273.14,276.26,271.54,22752300
993,2026-03-31,GOOG,277.54,286.86,287.05,276.76,31625100
994,2026-04-01,GOOG,289.98,294.9,297.98,289.47,24403600
995,2026-04-02,GOOG,288.99,294.46,295.9,287.57,13433400
996,2026-04-06,GOOG,294.7,297.66,298.42,293.79,10121700
997,2026-04-07,GOOG,300.14,303.93,304.1,295.42,17317700
998,2026-04-08,GOOG,317.83,314.74,319.39,312.7,20887500
999,2026-04-09,GOOG,313.19,316.37,317.43,309.47,14606800
1000,2026-04-10,GOOG,318.23,315.72,319.5,314.54,11977800
1001,2025-04-11,RELIANCE.NS,1190.4,1214.1,1217.79,1190.4,11224242
1002,2025-04-15,RELIANCE.NS,1246.02,1235.17,1246.02,1232.18,13378535
1003,2025-04-16,RELIANCE.NS,1229.19,1234.37,1235.96,1224.11,8248464
1004,2025-04-17,RELIANCE.NS,1235.27,1269.43,1275.11,1222.72,15398401
1005,2025-04-21,RELIANCE.NS,1264.95,1290.35,1295.72,1261.96,10429964
1006,2025-04-22,RELIANCE.NS,1294.83,1286.06,1298.71,1281.18,13051707
1007,2025-04-23,RELIANCE.NS,1291.84,1294.83,1300.8,1280.29,10480888
1008,2025-04-24,RELIANCE.NS,1287.26,1296.42,1299.31,1285.17,10468940
1009,2025-04-25,RELIANCE.NS,1298.31,1295.23,1319.93,1282.98,14431012
1010,2025-04-28,RELIANCE.NS,1334.67,1363.35,1369.13,1314.95,31104496
1011,2025-04-29,RELIANCE.NS,1365.55,1394.13,1405.29,1364.55,32538970
1012,2025-04-30,RELIANCE.NS,1396.42,1399.41,1406.78,1363.55,25480745
1013,2025-05-02,RELIANCE.NS,1408.38,1414.15,1421.02,1403.49,13007841
1014,2025-05-05,RELIANCE.NS,1425.31,1425.61,1433.77,1421.22,12685649
1015,2025-05-06,RELIANCE.NS,1425.31,1415.25,1426.3,1404.99,14084117
1016,2025-05-07,RELIANCE.NS,1415.25,1400.41,1418.73,1397.12,13440169
1017,2025-05-08,RELIANCE.NS,1398.51,1401.4,1415.15,1392.44,16106175
1018,2025-05-09,RELIANCE.NS,1379.99,1371.72,1389.25,1369.03,13668904
1019,2025-05-12,RELIANCE.NS,1394.43,1430.79,1433.28,1394.43,10674081
1020,2025-05-13,RELIANCE.NS,1427.8,1410.07,1441.94,1406.78,11407896
1021,2025-05-14,RELIANCE.NS,1414.35,1418.73,1424.21,1409.87,5570160
1022,2025-05-15,RELIANCE.NS,1419.33,1448.42,1455.59,1407.08,20177211
1023,2025-05-16,RELIANCE.NS,1447.42,1450.61,1455.19,1441.54,9036695
1024,2025-05-19,RELIANCE.NS,1446.32,1435.07,1448.81,1432.48,6195791
1025,2025-05-20,RELIANCE.NS,1432.48,1418.93,1439.25,1416.14,11270560
1026,2025-05-21,RELIANCE.NS,1418.24,1423.51,1430.49,1412.46,6136364
1027,2025-05-22,RELIANCE.NS,1415.55,1403.79,1418.14,1391.34,12134466
1028,2025-05-23,RELIANCE.NS,1401.0,1421.12,1428.1,1401.0,6474883
1029,2025-05-26,RELIANCE.NS,1426.3,1429.09,1435.27,1419.43,4842944
1030,2025-05-27,RELIANCE.NS,1420.43,1416.44,1431.28,1408.28,12640414
1031,2025-05-28,RELIANCE.NS,1414.45,1407.28,1416.94,1405.09,5944611
